customer_id,age,country,booking_date,room_type,booking_channel,lead_time,adr(average daily rate),is_cancelled,total_revenue,booking_month,customer_risk_category,total_guests,stay_duration
2,69,India,04-06-2023,Deluxe,Agent,31,2227.41,1,13364.46,June,Low Risk,2,15
5,60,UAE,27-08-2023,Deluxe,Online,106,14890.68,1,119125.44,August,High Risk,2,11
6,25,India,17-05-2023,Deluxe,Corporate,127,4040.18,1,12120.54,May,High Risk,4,20
7,38,UK,05-12-2023,Deluxe,Corporate,79,7691.99,0,53843.93,December,Medium Risk,4,10
14,53,UK,23-05-2023,Deluxe,Agent,86,14333.6,0,157669.6,May,Medium Risk,4,4
18,39,UAE,09-09-2023,Deluxe,Corporate,106,10546.09,1,137099.17,September,High Risk,2,14
19,19,UK,25-11-2023,Deluxe,Agent,106,8345.65,1,33382.6,November,High Risk,2,6
28,39,UAE,08-10-2023,Deluxe,Corporate,54,9946.04,1,99460.4,October,Medium Risk,3,19
30,42,India,15-08-2023,Deluxe,Online,143,12640.78,1,25281.56,August,High Risk,3,3
31,66,India,07-05-2023,Deluxe,Online,57,2468.7,1,24687,May,Medium Risk,2,8
38,68,UAE,18-11-2023,Deluxe,Corporate,51,8107.18,0,16214.36,November,Medium Risk,2,7
40,69,USA,09-12-2023,Deluxe,Corporate,101,10966.18,1,65797.08,December,High Risk,4,18
52,67,UAE,28-06-2023,Deluxe,Online,71,9601.61,1,76812.88,June,Medium Risk,4,2
57,45,Germany,30-05-2023,Deluxe,Online,119,5981.94,1,77765.22,May,High Risk,2,12
58,64,USA,25-09-2023,Deluxe,Corporate,166,8094.22,1,56659.54,September,High Risk,4,10
59,24,USA,23-11-2023,Deluxe,Online,113,10885.79,1,87086.32,November,High Risk,3,5
64,31,USA,05-03-2023,Deluxe,Agent,80,5461.3,0,70996.9,March,Medium Risk,3,16
65,34,India,26-10-2023,Deluxe,Agent,122,7175.96,1,43055.76,October,High Risk,4,1
68,57,India,25-04-2023,Deluxe,Online,16,12934.97,1,181089.58,April,Low Risk,4,2
69,21,UAE,22-10-2023,Deluxe,Corporate,102,7725.34,1,100429.42,October,High Risk,2,11
70,19,UAE,01-01-2023,Deluxe,Agent,106,10323.81,1,92914.29,January,High Risk,4,12
71,23,India,10-02-2023,Deluxe,Online,119,4076.64,1,8153.28,February,High Risk,2,15
72,59,UK,22-06-2023,Deluxe,Agent,111,4382.97,1,26297.82,June,High Risk,3,8
82,48,USA,31-05-2023,Deluxe,Agent,18,11189.06,0,11189.06,May,Low Risk,4,10
85,25,Germany,09-12-2023,Deluxe,Agent,34,11845.59,0,165838.26,December,Low Risk,4,12
89,38,USA,06-03-2023,Deluxe,Corporate,8,8399.18,0,58794.26,March,Low Risk,2,6
92,35,UK,19-02-2023,Deluxe,Online,92,14651.4,0,58605.6,February,Medium Risk,4,9
98,58,USA,08-12-2023,Deluxe,Agent,34,12594.14,0,100753.12,December,Low Risk,3,16
100,32,India,29-09-2023,Deluxe,Online,110,3040.54,1,21283.78,September,High Risk,2,5
101,62,USA,10-05-2023,Deluxe,Online,42,14877.3,1,74386.5,May,Low Risk,3,15
102,18,USA,26-09-2023,Deluxe,Corporate,44,13723.25,0,178402.25,September,Low Risk,3,4
107,18,UAE,13-08-2023,Deluxe,Corporate,134,13783.36,1,41350.08,August,High Risk,2,8
112,68,UK,17-02-2023,Deluxe,Online,8,14012,0,56048,February,Low Risk,3,11
113,34,UAE,18-01-2023,Deluxe,Agent,147,10210.63,1,71474.41,January,High Risk,2,14
115,52,Germany,06-12-2023,Deluxe,Agent,49,9286.18,0,92861.8,December,Low Risk,2,15
119,59,USA,12-12-2023,Deluxe,Online,65,5815.68,1,34894.08,December,Medium Risk,2,14
123,24,Germany,05-05-2023,Deluxe,Agent,35,3484.07,0,31356.63,May,Low Risk,3,19
125,25,USA,23-06-2023,Deluxe,Online,67,12825.8,1,153909.6,June,Medium Risk,2,17
126,29,India,30-06-2023,Deluxe,Corporate,0,3067.41,0,27606.69,June,Low Risk,4,18
127,51,UK,14-08-2023,Deluxe,Corporate,47,4542.3,0,40880.7,August,Low Risk,3,8
129,65,USA,13-06-2023,Deluxe,Agent,151,5739.41,1,17218.23,June,High Risk,3,20
130,40,UK,12-03-2023,Deluxe,Online,176,11381.59,1,136579.08,March,High Risk,4,4
135,57,UK,01-06-2023,Deluxe,Agent,113,12071.55,1,120715.5,June,High Risk,2,18
142,64,Germany,06-01-2023,Deluxe,Online,104,7224.98,1,101149.72,January,High Risk,3,13
143,31,India,30-11-2023,Deluxe,Corporate,176,10347.15,1,144860.1,November,High Risk,3,6
146,22,India,26-04-2023,Deluxe,Agent,17,8825.32,1,61777.24,April,Low Risk,2,14
151,26,Germany,19-03-2023,Deluxe,Corporate,173,11785.79,1,70714.74,March,High Risk,2,9
152,32,Germany,24-02-2023,Deluxe,Agent,57,8338.13,1,25014.39,February,Medium Risk,2,5
153,32,USA,31-10-2023,Deluxe,Agent,84,10113.12,0,50565.6,October,Medium Risk,2,14
154,43,UK,16-08-2023,Deluxe,Corporate,151,8124.38,1,105616.94,August,High Risk,2,10
155,59,India,29-03-2023,Deluxe,Corporate,155,12644.89,1,164383.57,March,High Risk,3,11
158,49,UAE,17-10-2023,Deluxe,Corporate,32,5153.86,0,10307.72,October,Low Risk,2,18
159,56,India,13-06-2023,Deluxe,Online,66,3800.85,0,11402.55,June,Medium Risk,3,5
160,66,USA,27-08-2023,Deluxe,Corporate,112,6856.75,1,89137.75,August,High Risk,4,6
163,21,India,01-12-2023,Deluxe,Corporate,38,5215.59,1,15646.77,December,Low Risk,4,2
164,47,UK,18-01-2023,Deluxe,Corporate,174,9796.07,1,19592.14,January,High Risk,3,11
170,60,India,05-12-2023,Deluxe,Agent,134,4492.3,1,13476.9,December,High Risk,3,2
171,46,India,05-09-2023,Deluxe,Corporate,112,7794.4,1,54560.8,September,High Risk,3,2
173,30,UAE,21-11-2023,Deluxe,Corporate,107,14208.62,1,71043.1,November,High Risk,3,3
177,39,UAE,07-12-2023,Deluxe,Corporate,153,11825.29,1,153728.77,December,High Risk,4,2
178,45,Germany,03-05-2023,Deluxe,Online,33,11139.42,0,100254.78,May,Low Risk,4,18
179,19,UAE,27-02-2023,Deluxe,Agent,95,11109.61,0,155534.54,February,Medium Risk,2,8
180,59,UK,05-12-2023,Deluxe,Agent,21,8281.96,0,57973.72,December,Low Risk,4,20
184,45,UAE,05-02-2023,Deluxe,Online,150,4046.02,1,52598.26,February,High Risk,4,8
185,61,UAE,22-08-2023,Deluxe,Online,66,2882.89,0,23063.12,August,Medium Risk,4,16
189,28,USA,12-09-2023,Deluxe,Corporate,164,11297.19,1,45188.76,September,High Risk,4,14
190,45,Germany,11-08-2023,Deluxe,Corporate,98,2818.32,1,36638.16,August,Medium Risk,2,11
195,44,USA,30-04-2023,Deluxe,Corporate,30,4235.94,0,12707.82,April,Low Risk,3,2
197,30,India,13-04-2023,Deluxe,Corporate,170,2631.86,1,31582.32,April,High Risk,4,17
201,23,UAE,07-03-2023,Deluxe,Online,19,6399.41,0,31997.05,March,Low Risk,4,16
206,50,Germany,24-12-2023,Deluxe,Online,139,11077.59,1,11077.59,December,High Risk,3,12
209,61,UAE,17-06-2023,Deluxe,Corporate,65,13000.36,1,13000.36,June,Medium Risk,4,12
210,41,UAE,20-09-2023,Deluxe,Agent,72,10765.68,1,43062.72,September,Medium Risk,3,4
211,32,UK,13-05-2023,Deluxe,Agent,154,8980.01,1,53880.06,May,High Risk,3,11
214,41,USA,25-06-2023,Deluxe,Agent,78,10361.95,0,93257.55,June,Medium Risk,4,1
217,66,India,24-10-2023,Deluxe,Online,12,5158.01,1,46422.09,October,Low Risk,2,9
222,19,Germany,01-02-2023,Deluxe,Online,120,3813.17,1,49571.21,February,High Risk,2,14
223,20,Germany,17-02-2023,Deluxe,Corporate,24,10855.99,0,10855.99,February,Low Risk,3,19
224,66,USA,23-11-2023,Deluxe,Online,153,5953.65,1,29768.25,November,High Risk,3,4
228,66,UAE,19-04-2023,Deluxe,Agent,172,10451.41,1,135868.33,April,High Risk,2,14
238,19,UAE,28-07-2023,Deluxe,Corporate,0,11443.08,1,148760.04,July,Low Risk,2,17
241,49,India,15-09-2023,Deluxe,Corporate,10,3096.26,1,6192.52,September,Low Risk,3,1
245,28,UAE,20-06-2023,Deluxe,Online,171,9689.71,1,67827.97,June,High Risk,2,15
247,55,Germany,23-10-2023,Deluxe,Online,119,8872.03,1,106464.36,October,High Risk,4,16
251,51,USA,26-08-2023,Deluxe,Agent,130,14513.72,1,145137.2,August,High Risk,2,11
253,39,India,04-03-2023,Deluxe,Corporate,22,9096.87,1,81871.83,March,Low Risk,3,9
254,28,UK,12-09-2023,Deluxe,Corporate,114,4924.12,1,68937.68,September,High Risk,4,5
256,33,Germany,29-01-2023,Deluxe,Agent,144,8354.26,1,41771.3,January,High Risk,2,11
262,20,UAE,28-10-2023,Deluxe,Corporate,101,4938.42,1,54322.62,October,High Risk,3,8
